Tarix,Vaxt (Bakı),Coin,İstiqamət,Təklif Olunan Miqdar,Qiymət,Təklif Olunan Ölçü (USD),Gözlənilən Hədəf,Gözlənilən Dəyişim (%),Status,Qeyd
,,,,,,,,,"QEYD","Salam, deməli buraya qədər izlədin... bəlkə subscribe etmək vaxtıdır? :)"
2026-07-31,11:17:42,BTCUSDT,,,64035.99,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -0.64% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: RSI(3) > 85 olmalıdır, hazırda 18.90-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:17:43,ETHUSDT,,,1890.26,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.22% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: RSI(3) < 15 olmalıdır, hazırda 15.04-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,11:17:43,SOLUSDT,,,73.77,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.85% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: RSI(3) > 85 olmalıdır, hazırda 25.86-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:17:44,BNBUSDT,,,591.20,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.50% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: RSI(3) < 15 olmalıdır, hazırda 65.07-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,11:17:44,PAXGUSDT,,,4074.38,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,11:24:12,BTCUSDT,,,64000.00,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -0.69% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: RSI(3) > 85 olmalıdır, hazırda 18.10-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:24:13,ETHUSDT,BUY,0.006889,1887.09,13.00,1943.77,3.00,SİQNAL,"Bütün şərtlər ödənildi — razısansa manual icra et"
2026-07-31,11:24:13,SOLUSDT,,,73.58,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -3.09% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: RSI(3) > 85 olmalıdır, hazırda 21.98-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:24:14,BNBUSDT,,,591.07,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.48% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: RSI(3) < 15 olmalıdır, hazırda 64.52-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,11:24:14,PAXGUSDT,,,4073.29,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,11:32:33,BTCUSDT,,,63994.01,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -0.70% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: RSI(3) > 85 olmalıdır, hazırda 17.97-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:32:33,ETHUSDT,,,1887.84,,,,GÖZLƏ,"Bu 4H şamında ETHUSDT üçün artıq siqnal verilib — eyni şam ərzində təkrar siqnal qeydə alınmır (dublikat qarşısı)."
2026-07-31,11:32:33,SOLUSDT,,,73.65,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -3.00% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: RSI(3) > 85 olmalıdır, hazırda 23.27-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:32:33,BNBUSDT,,,591.34,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.52% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: RSI(3) < 15 olmalıdır, hazırda 65.64-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,11:32:34,PAXGUSDT,,,4068.49,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,11:50:14,BTCUSDT,,,63981.99,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -0.72% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 32.02-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:50:14,ETHUSDT,,,1890.01,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.20% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 32.38-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,11:50:14,SOLUSDT,,,73.73,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.90% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 39.43-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,11:50:14,BNBUSDT,,,589.89,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.27% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 55.95-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,11:50:14,PAXGUSDT,,,4067.74,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,12:23:43,SOLUSDT,,,73.64,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.99% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 23.86-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,12:27:14,BTCUSDT,,,63936.00,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -0.79% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 17.09-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,12:27:14,ETHUSDT,,,1892.01,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 2.29% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 15.02-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,12:27:14,PAXGUSDT,,,4057.34,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
